sampleID	B_cell	T_cell.CD4	T_cell.CD8	Neutrophil	Macrophage	DC
Pt4_Pre	0.099964	0.124186	0.197360	0.120218	0.039445	0.498392
Pt52_On	0.100562	0.123246	0.193846	0.118863	0.045138	0.500138
Pt52_Pre	0.102197	0.122808	0.195549	0.119052	0.043999	0.502251
Pt58_On	0.106258	0.126693	0.206753	0.118935	0.040082	0.510762
Pt59_Pre	0.106615	0.125704	0.200413	0.120016	0.046102	0.512949
Pt5_On	0.096255	0.124747	0.197662	0.123011	0.043882	0.504439
Pt5_On.2	0.093077	0.120713	0.197988	0.118085	0.034818	0.499542
Pt5_Pre	0.103451	0.133880	0.200715	0.122029	0.043986	0.505831
Pt5_Pre.2	0.103079	0.131877	0.202524	0.125317	0.052773	0.509781
Pt62_On	0.098293	0.114688	0.191192	0.118181	0.043586	0.495180
Pt62_Pre	0.098296	0.115644	0.188422	0.118531	0.039711	0.494591
Pt65_On	0.106353	0.126711	0.202709	0.119008	0.038471	0.507702
Pt65_Pre	0.110923	0.127983	0.196785	0.117969	0.038042	0.508220
Pt66_Pre	0.093930	0.119205	0.186403	0.120292	0.035425	0.496305
Pt67_On	0.108955	0.126582	0.200529	0.119065	0.037096	0.491425
Pt67_Pre	0.112972	0.125824	0.197219	0.118452	0.035702	0.496854
Pt68_On	0.102597	0.118784	0.187642	0.116318	0.038928	0.489385
Pt69_On	0.114442	0.135354	0.209139	0.123694	0.056973	0.524458
Pt72_Pre	0.095099	0.117069	0.179664	0.120179	0.042384	0.494234
Pt76_Pre	0.098648	0.115671	0.187736	0.123759	0.036166	0.492850
Pt77_On	0.128819	0.149518	0.202653	0.118897	0.035096	0.519517
Pt77_Pre	0.124052	0.141044	0.199395	0.119102	0.037787	0.511665
Pt78_On	0.097790	0.126551	0.197456	0.124381	0.045367	0.501123
Pt78_Pre	0.097577	0.113972	0.176710	0.118211	0.037149	0.485656
Pt78_Pre.2	0.097060	0.119806	0.172699	0.118196	0.035276	0.485750
Pt79_On	0.100104	0.121520	0.199627	0.117929	0.039587	0.500139
Pt79_Pre	0.099840	0.119911	0.196918	0.118155	0.039317	0.497279
Pt80_On	0.101980	0.126985	0.200940	0.119295	0.041976	0.511476
Pt81_On	0.103660	0.132896	0.210247	0.121262	0.046742	0.510167
Pt82_On	0.106201	0.130310	0.200692	0.119029	0.039184	0.512198
Pt82_Pre	0.102763	0.123690	0.196391	0.118155	0.042996	0.507439
Pt84_On	0.095969	0.113744	0.181135	0.117060	0.044983	0.488841
Pt84_Pre	0.096773	0.112382	0.179450	0.117441	0.044135	0.487579
Pt85_On	0.100129	0.122517	0.183461	0.118566	0.040185	0.493843
Pt85_Pre	0.092946	0.116519	0.174905	0.120485	0.041258	0.488882
Pt87_On	0.114116	0.138763	0.212183	0.124951	0.045469	0.522133
Pt89_On	0.103108	0.125063	0.198032	0.119020	0.038006	0.511334
Pt89_Pre	0.101504	0.125463	0.190762	0.118717	0.036328	0.504727
Pt8_On	0.099450	0.121881	0.195939	0.119296	0.040856	0.504810
Pt8_Pre	0.106144	0.125986	0.195210	0.117909	0.041497	0.505255
Pt90_Pre	0.104419	0.121514	0.203002	0.125256	0.037743	0.510976
Pt92_On	0.110073	0.134227	0.218637	0.122325	0.042184	0.515661
Pt92_On.2	0.105741	0.132648	0.212533	0.121527	0.042279	0.512265
Pt92_Pre	0.103841	0.131419	0.201419	0.119808	0.041956	0.508345
Pt92_Pre.2	0.106775	0.133371	0.205108	0.119781	0.040847	0.507863
Pt93_On	0.096181	0.118268	0.188584	0.117440	0.044263	0.495077
Pt94_On	0.102037	0.125143	0.199024	0.118752	0.047769	0.504179
Pt94_Pre	0.108142	0.128226	0.197907	0.117224	0.042506	0.504355
Pt98_On	0.101831	0.124615	0.200961	0.118506	0.045409	0.503643
Pt98_Pre	0.097271	0.119481	0.189590	0.117176	0.044221	0.494192
Pt9_On	0.097871	0.122077	0.185577	0.117455	0.040222	0.504239
Pt9_Pre	0.097734	0.120418	0.190194	0.118154	0.041178	0.506037
